nopd_item,type,typetext,priority,initialtype,initialtypetext,initialpriority,mapx,mapy,timecreate,timedispatch,timearrive,timeclosed,disposition,dispositiontext,selfinitiated,beat,block_address,zip,policedistrict,location,set,latitude,longitude
B2596022,37D,AGGRAVATED ASSAULT DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3707256,558902,02/22/2022 02:25:08 PM,02/22/2022 02:31:42 PM,02/22/2022 02:37:23 PM,02/22/2022 05:10:52 PM,RTF,REPORT TO FOLLOW,N,7R04,067XX Cindy Pl,70127,7,POINT (-89.98572359 30.02998071),calls_for_service,,
B2610722,42U,AGGRAVATED RAPE UNFOUNDED BY SPECIAL VICTIMS OR CHILD ABUSE,1C,42U,AGGRAVATED RAPE UNFOUNDED BY SPECIAL VICTIMS OR CHILD ABUSE,1C,37369000,3513814,02/22/2022 05:31:36 PM,,02/22/2022 05:31:36 PM,02/22/2022 05:31:57 PM,RTF,REPORT TO FOLLOW,Y,8J01,007XX Loyola Ave,70113,8,POINT (0 0),calls_for_service,,
C0436022,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3677273,533375,03/04/2022 08:56:42 PM,03/04/2022 09:05:38 PM,03/04/2022 09:10:23 PM,03/04/2022 10:49:04 PM,DUP,DUPLICATE,N,1H01,020XX Canal St,70112,1,POINT (-90.08135199 29.9607251),calls_for_service,,
B2777822,38D,SIMPLE ASSAULT DOMESTIC,2D,103D,DOMESTIC DISTURBANCE,2C,3671019,536298,02/24/2022 10:30:18 AM,02/24/2022 10:32:19 AM,02/24/2022 10:47:11 AM,02/24/2022 06:30:23 PM,RTF,REPORT TO FOLLOW,N,1L04,005XX S Cortez St,70119,1,POINT (-90.101003 29.96894989),calls_for_service,,
B2833222,34S,AGGRAVATED BATTERY BY SHOOTING,2C,94,DISCHARGING FIREARM,2D,3677789,524096,02/24/2022 09:15:10 PM,02/24/2022 09:17:13 PM,02/24/2022 09:21:30 PM,02/25/2022 12:09:19 AM,RTF,REPORT TO FOLLOW,N,6G01,016XX Blk Josephine St,70130,6,POINT (-90.08004302 29.93519672),calls_for_service,,
B2846822,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3715464,564515,02/24/2022 11:49:57 PM,02/24/2022 11:50:58 PM,02/24/2022 11:55:24 PM,02/25/2022 04:21:05 AM,RTF,REPORT TO FOLLOW,N,7K01,060XX Bullard Ave,70128,7,POINT (-89.9595738 30.04514436),calls_for_service,,
B2851422,38D,SIMPLE ASSAULT DOMESTIC,2D,56,SIMPLE CRIMINAL DAMAGE,1F,3692888,519286,02/25/2022 12:57:57 AM,02/25/2022 01:24:30 AM,02/25/2022 01:31:07 AM,02/25/2022 02:32:34 AM,RTF,REPORT TO FOLLOW,N,4C03,029XX Potomac St,70114,4,POINT (-90.03254976 29.92150763),calls_for_service,,
B2878422,42,AGGRAVATED RAPE,1A,42,AGGRAVATED RAPE,2C,37369000,3513814,02/25/2022 08:51:47 AM,02/25/2022 09:58:48 AM,02/25/2022 10:50:23 AM,02/25/2022 10:54:29 AM,GOA,GONE ON ARRIVAL,N,2A02,002XX State St,70118,2,POINT (0 0),calls_for_service,,
B2882322,37,AGGRAVATED ASSAULT,1A,66,EXTORTION (THREATS),1H,3671086,535316,02/25/2022 09:38:53 AM,02/25/2022 09:47:58 AM,02/25/2022 09:53:24 AM,02/25/2022 12:48:44 PM,RTF,REPORT TO FOLLOW,N,1K02,036XX Tulane Ave,70119,1,POINT (-90.10082255 29.96624566),calls_for_service,,
B2900722,37,AGGRAVATED ASSAULT,2E,94,DISCHARGING FIREARM,2D,3683375,555691,02/25/2022 12:28:00 PM,02/25/2022 12:31:28 PM,02/25/2022 12:39:34 PM,02/25/2022 02:50:19 PM,RTF,REPORT TO FOLLOW,N,3R01,Allen Toussaint Blvd & Elysian Fields Av,70122,3,POINT (-90.06130158 30.02190183),calls_for_service,,
