item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
A-24005-22,5,035XX Burgundy St,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/22/2022 8:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729259.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23984-22,7,153XX Chef Menteur Hw #16,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 8:30,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,41.0,Non-fatal,,Incident Report,2022
A-23984-22,7,153XX Chef Menteur Hw #16,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 8:30,,,,,,,,,2.0,INTERVIEW,WHITE,MALE,39.0,Non-fatal,,Incident Report,2022
A-23936-22,6,032XX 3rd St #V,OPEN,29,DEATH,1/22/2022 6:45,,,,,,,,,1.0,VICTIM,BLACK,MALE,39.0,Fatal,,Incident Report,2022
A-23936-22,6,032XX 3rd St #V,OPEN,29,DEATH,1/22/2022 6:45,,,,,,,,,2.0,REPORTING PERSON,BLACK,MALE,59.0,Non-fatal,,Incident Report,2022
A-23936-22,6,032XX 3rd St #V,OPEN,29,DEATH,1/22/2022 6:45,,,,,,,,,3.0,INTERVIEW,BLACK,FEMALE,43.0,Non-fatal,,Incident Report,2022
A-23996-22,4,035XX Garden Oaks Dr #1604,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 9:29,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,56.0,Non-fatal,,Incident Report,2022
A-23996-22,4,035XX Garden Oaks Dr #1604,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 9:29,,,,,,,,,2.0,INTERVIEW,BLACK,FEMALE,41.0,Non-fatal,,Incident Report,2022
A-23909-22,7,067XX Foch Rd,OPEN,21P,LOST PROPERTY,1/3/2022 15:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,33.0,Non-fatal,,Incident Report,2022
A-24001-22,8,006XX Iberville St,OPEN,67P,PICKPOCKET,1/22/2022 8:20,54 186,THEFT,1.0,729269.0,,BLACK,FEMALE,,1.0,VICTIM,ASIAN,MALE,24.0,Non-fatal,,Incident Report,2022
