item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
C-08542-22,8,010XX Canal St,OPEN,21,MISCELLANEOUS INCIDENT,3/8/2022 11:00,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,79.0,Non-fatal,,Incident Report,2022
C-11453-22,5,060XX Chartres St,OPEN,103,DISTURBANCE,3/11/2022 3:30,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,48.0,Non-fatal,,Incident Report,2022
C-11453-22,5,060XX Chartres St,OPEN,103,DISTURBANCE,3/11/2022 3:30,,,,,,,,,2.0,INTERVIEW,BLACK,FEMALE,35.0,Non-fatal,,Incident Report,2022
C-11528-22,5,019XX N Broad St,OPEN,21,MISCELLANEOUS INCIDENT,3/9/2022 0:50,,,,,,,,,1.0,REPORTING PERSON,,,,Non-fatal,,Incident Report,2022
O-00060-22,8,Poydras St & Magazine St,OPEN,21P,LOST PROPERTY,2/27/2022 16:30,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,50.0,Non-fatal,,Incident Report,2022
C-10753-22,1,013XX N Prieur St,OPEN,67,THEFT,3/10/2022 13:00,14 67,THEFT,1.0,736147.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-10753-22,1,013XX N Prieur St,OPEN,67,THEFT,3/10/2022 13:00,,,1.0,736147.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,BLACK,MALE,54.0,Non-fatal,,Incident Report,2022
C-09629-22,5,005XX Port St,OPEN,64,ARMED ROBBERY,3/9/2022 14:50,14 64,ARMED ROBBERY,1.0,736150.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,52.0,Non-fatal,,Supplemental Report,2022
C-09629-22,5,005XX Port St,OPEN,64,ARMED ROBBERY,3/9/2022 14:50,,,1.0,736150.0,,UNKNOWN,UNKNOWN,,2.0,VICTIM,,,,Non-fatal,,Supplemental Report,2022
C-09629-22,5,005XX Port St,OPEN,64,ARMED ROBBERY,3/9/2022 14:50,14 64,ARMED ROBBERY,2.0,736151.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,52.0,Non-fatal,,Supplemental Report,2022
C-09629-22,5,005XX Port St,OPEN,64,ARMED ROBBERY,3/9/2022 14:50,,,2.0,736151.0,,UNKNOWN,UNKNOWN,,2.0,VICTIM,,,,Non-fatal,,Supplemental Report,2022
C-09629-22,5,005XX Port St,OPEN,64,ARMED ROBBERY,3/9/2022 14:50,14 64,ARMED ROBBERY,3.0,736152.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,52.0,Non-fatal,,Supplemental Report,2022
C-09629-22,5,005XX Port St,OPEN,64,ARMED ROBBERY,3/9/2022 14:50,,,3.0,736152.0,,UNKNOWN,UNKNOWN,,2.0,VICTIM,,,,Non-fatal,,Supplemental Report,2022
C-10585-22,3,045XX Saint Ferdinand Dr,OPEN,21,MISCELLANEOUS INCIDENT,3/10/2022 11:15,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,49.0,Non-fatal,,Incident Report,2022
C-10589-22,4,019XX Newton St,OPEN,21P,LOST PROPERTY,3/9/2022 18:00,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,31.0,Non-fatal,,Incident Report,2022
B-07200-22,7,060XX Morrison Rd,CLOSED,67A,AUTO THEFT,2/6/2022 14:55,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,736155.0,ARRESTED,BLACK,MALE,17.0,1.0,VICTIM,BLACK,MALE,39.0,Non-fatal,,Supplemental Report,2022
C-11604-22,5,006XX Flood St,OPEN,103D,DISTURBANCE (DOMESTIC),3/11/2022 8:41,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,45.0,Non-fatal,,Incident Report,2022
C-11248-22,1,002XX Basin St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/10/2022 20:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736156.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
C-11248-22,1,002XX Basin St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/10/2022 20:00,14 62,SIMPLE BURGLARY,1.0,736156.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
C-11248-22,1,002XX Basin St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/10/2022 20:00,14 67.16,IDENTITY THEFT,1.0,736156.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
B-31929-22,4,034XX Caesar Dr,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2/27/2022 17:30,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,736157.0,ARRESTED,BLACK,MALE,57.0,1.0,VICTIM,BLACK,FEMALE,52.0,Non-fatal,,Supplemental Report,2022
C-11626-22,2,049XX S Saratoga St,OPEN,67A,AUTO THEFT,3/11/2022 1:00,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,736160.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,32.0,Non-fatal,,Incident Report,2022
B-19038-22,5,033XX N Claiborne Av,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/16/2022 11:00,14 95.1,POSSESSION OF FIREARM BY FELON,1.0,736161.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-19038-22,5,033XX N Claiborne Av,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/16/2022 11:00,14 69.1,ILLEGAL POSSESSION OF STOLEN FIREARMS,1.0,736161.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-19038-22,5,033XX N Claiborne Av,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/16/2022 11:00,14 108.2,RESISTING A POLICE OFFICER WITH FORCE OR VIOLENCE,1.0,736161.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-19038-22,5,033XX N Claiborne Av,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/16/2022 11:00,14 (27) 34.6,ATTEMPT - DISARMING A PEACE OFFICER,1.0,736161.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-11521-22,2,072XX Garfield St,OPEN,103,DISTURBANCE,3/11/2022 6:30,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,20.0,Non-fatal,,Incident Report,2022
C-10722-22,1,002XX N Roman St,OPEN,56,SIMPLE CRIMINAL DAMAGE,3/11/2022 8:50,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736165.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,34.0,Non-fatal,,Incident Report,2022
C-10722-22,1,002XX N Roman St,OPEN,56,SIMPLE CRIMINAL DAMAGE,3/11/2022 8:50,14 63,CRIMINAL TRESPASS,1.0,736165.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,34.0,Non-fatal,,Incident Report,2022
C-11651-22,7,068XX Cindy Pl #D,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),3/11/2022 9:00,14 34.1,SECOND DEGREE BATTERY,1.0,736164.0,ARRESTED,BLACK,FEMALE,43.0,1.0,VICTIM,BLACK,MALE,46.0,Non-fatal,,Incident Report,2022
C-10625-22,8,008XX Baronne St,OPEN,67F,THEFT BY FRAUD,3/11/2022 10:00,14 67.16,IDENTITY THEFT,1.0,736174.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,39.0,Non-fatal,,Incident Report,2022
B-26815-22,6,012XX S Roman St,OPEN,67A,AUTO THEFT,2/23/2022 12:00,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,736166.0,,BLACK,FEMALE,19.0,1.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,,Supplemental Report,2022
B-26815-22,6,012XX S Roman St,OPEN,67A,AUTO THEFT,2/23/2022 12:00,,,1.0,736166.0,,BLACK,FEMALE,19.0,2.0,WITNESS,BLACK,MALE,,Non-fatal,,Supplemental Report,2022
C-11594-22,3,008XX Solomon Pl,OPEN,35D,SIMPLE BATTERY (DOMESTIC),3/11/2022 8:06,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,736207.0,,WHITE,MALE,41.0,1.0,VICTIM,WHITE,FEMALE,50.0,Non-fatal,,Incident Report,2022
C-11580-22,7,068XX Curran Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/11/2022 5:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736168.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,21.0,Non-fatal,,Incident Report,2022
C-11580-22,7,068XX Curran Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/11/2022 5:30,14 62,SIMPLE BURGLARY,1.0,736168.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,21.0,Non-fatal,,Incident Report,2022
C-11580-22,7,068XX Curran Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/11/2022 5:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,2.0,736169.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,21.0,Non-fatal,,Incident Report,2022
C-11580-22,7,068XX Curran Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/11/2022 5:30,14 62,SIMPLE BURGLARY,2.0,736169.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,21.0,Non-fatal,,Incident Report,2022
C-11555-22,8,Canal St & Bourbon St,CLOSED,67,THEFT,3/11/2022 7:34,54 186,THEFT,1.0,736170.0,ARRESTED,BLACK,MALE,25.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-11555-22,8,Canal St & Bourbon St,CLOSED,67,THEFT,3/11/2022 7:34,,,1.0,736170.0,ARRESTED,BLACK,MALE,25.0,2.0,REPORTING PERSON,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
C-11687-22,4,039XX Behrman,OPEN,21R,OUT OF PARISH VEHICLE RECOVERY,3/9/2022 7:30,,,,,,,,,1.0,VICTIM,BLACK,MALE,28.0,Non-fatal,,Incident Report,2022
C-09488-22,5,020XX France St,CLOSED,35,SIMPLE BATTERY,3/9/2022 11:00,54 153,CRIMINAL TRESPASS,1.0,736173.0,ARRESTED,BLACK,MALE,59.0,1.0,VICTIM,BLACK,MALE,31.0,Non-fatal,,Supplemental Report,2022
C-09488-22,5,020XX France St,CLOSED,35,SIMPLE BATTERY,3/9/2022 11:00,54 96,BATTERY,1.0,736173.0,ARRESTED,BLACK,MALE,59.0,2.0,VICTIM,WHITE,MALE,47.0,Non-fatal,,Supplemental Report,2022
C-09488-22,5,020XX France St,CLOSED,35,SIMPLE BATTERY,3/9/2022 11:00,54 96,BATTERY,1.0,736173.0,ARRESTED,BLACK,MALE,59.0,3.0,VICTIM,WHITE,MALE,40.0,Non-fatal,,Supplemental Report,2022
A-24397-22,6,021XX Magazine St,OPEN,27-67A,ATTEMPTED AUTO THEFT,1/22/2022 17:34,,,,,,,,,,,,,,Non-fatal,,Supplemental Report,2022
B-09216-22,6,023XX Milan St,CLOSED,62C,SIMPLE BURGLARY (VEHICLE),2/8/2022 2:30,14 62,SIMPLE BURGLARY,1.0,736487.0,ARRESTED,BLACK,MALE,17.0,3.0,VICTIM,WHITE,FEMALE,,Non-fatal,,Supplemental Report,2022
B-09216-22,6,023XX Milan St,CLOSED,62C,SIMPLE BURGLARY (VEHICLE),2/8/2022 2:30,14 62,SIMPLE BURGLARY,1.0,736487.0,ARRESTED,BLACK,MALE,17.0,4.0,VICTIM,WHITE,MALE,,Non-fatal,,Supplemental Report,2022
B-09216-22,6,023XX Milan St,CLOSED,62C,SIMPLE BURGLARY (VEHICLE),2/8/2022 2:30,14 62,SIMPLE BURGLARY,1.0,736487.0,ARRESTED,BLACK,MALE,17.0,5.0,VICTIM,UNKNOWN,UNKNOWN,,Non-fatal,,Supplemental Report,2022
C-02207-22,8,Baronne St & Common St,OPEN,21,MISCELLANEOUS INCIDENT,3/2/2022 21:15,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,36.0,Non-fatal,,Incident Report,2022
C-02207-22,8,Baronne St & Common St,OPEN,21,MISCELLANEOUS INCIDENT,3/2/2022 21:15,,,,,,,,,2.0,REPORTING PERSON,BLACK,FEMALE,,Non-fatal,,Incident Report,2022
C-14884-22,5,031XX Saint Claude Av,OPEN,103,DISTURBANCE,3/14/2022 8:30,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,55.0,Non-fatal,,Incident Report,2022
B-09517-22,6,018XX Milan St,CLOSED,62C,SIMPLE BURGLARY (VEHICLE),2/8/2022 4:00,14 62,SIMPLE BURGLARY,1.0,736490.0,ARRESTED,BLACK,MALE,17.0,1.0,VICTIM,WHITE,MALE,,Non-fatal,,Supplemental Report,2022
O-00069-22,6,Saint Charles Av & Amelia St,OPEN,67P,PICKPOCKET,2/25/2022 20:00,14 67,THEFT,1.0,736553.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,40.0,Non-fatal,,Incident Report,2022
O-00069-22,6,Saint Charles Av & Amelia St,OPEN,67P,PICKPOCKET,2/25/2022 20:00,14 67.16,IDENTITY THEFT,1.0,736553.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,40.0,Non-fatal,,Incident Report,2022
C-06292-22,3,036XX Fairmont Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/6/2022 17:30,14 67.15,THEFT OF A FIREARM,1.0,736492.0,,BLACK,MALE,38.0,1.0,VICTIM,BLACK,MALE,37.0,Non-fatal,,Supplemental Report,2022
C-06292-22,3,036XX Fairmont Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/6/2022 17:30,,,1.0,736492.0,,BLACK,MALE,38.0,2.0,INTERVIEW,BLACK,FEMALE,,Non-fatal,,Supplemental Report,2022
C-06292-22,3,036XX Fairmont Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/6/2022 17:30,,,1.0,736492.0,,BLACK,MALE,38.0,3.0,INTERVIEW,BLACK,MALE,29.0,Non-fatal,,Supplemental Report,2022
C-14855-22,6,US90B Exit Hw & Tchoupitoulas St,CLOSED,17F,FUGITIVE ATTACHMENT,3/14/2022 6:35,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,1.0,736494.0,ARRESTED,BLACK,MALE,46.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-14877-22,4,031XX Somerset Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 1:30,,,1.0,736493.0,,UNKNOWN,UNKNOWN,22.0,1.0,REPORTING PERSON,WHITE,FEMALE,48.0,Non-fatal,,Incident Report,2022
C-14877-22,4,031XX Somerset Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 1:30,14 62,SIMPLE BURGLARY,1.0,736493.0,,UNKNOWN,UNKNOWN,22.0,2.0,INTERVIEW,BLACK,MALE,17.0,Non-fatal,,Incident Report,2022
C-14767-22,5,031XX N Rampart St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 5:15,14 62,SIMPLE BURGLARY,1.0,736497.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,38.0,Non-fatal,,Incident Report,2022
C-11759-22,2,030XX Fern St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),3/11/2022 11:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736496.0,ARRESTED,BLACK,MALE,37.0,1.0,VICTIM,BLACK,FEMALE,34.0,Non-fatal,,Supplemental Report,2022
B-33171-22,5,028XX Law St #A,OPEN,67A,AUTO THEFT,2/23/2022 20:30,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,736499.0,,BLACK,FEMALE,48.0,1.0,VICTIM,BLACK,MALE,75.0,Non-fatal,,Supplemental Report,2022
C-14744-22,4,026XX Hyman Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 4:00,14 62,SIMPLE BURGLARY,1.0,736501.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
C-14798-22,4,050XX Dover Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 62,SIMPLE BURGLARY,1.0,736521.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,26.0,Non-fatal,,Incident Report,2022
C-14798-22,4,050XX Dover Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736521.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,26.0,Non-fatal,,Incident Report,2022
C-14817-22,4,050XX Dover Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 62,SIMPLE BURGLARY,1.0,738193.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,,Non-fatal,,Incident Report,2022
C-14817-22,4,050XX Dover Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,738193.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,,Non-fatal,,Incident Report,2022
C-14821-22,4,050XX Macarthur Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 62,SIMPLE BURGLARY,1.0,736541.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,45.0,Non-fatal,,Incident Report,2022
C-14821-22,4,050XX Macarthur Bd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736541.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,45.0,Non-fatal,,Incident Report,2022
C-14908-22,2,045XX Baronne St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 9:00,14 62,SIMPLE BURGLARY,1.0,736504.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,40.0,Non-fatal,,Incident Report,2022
C-14791-22,4,028XX Bristol Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 62,SIMPLE BURGLARY,1.0,738194.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
C-14791-22,4,028XX Bristol Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,738194.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
C-14791-22,4,028XX Bristol Pl,OPEN,62C,SIMPLE BURGLARY (VEHICLE),3/14/2022 3:00,,,1.0,738194.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
C-14764-22,2,081XX S Claiborne Av,OPEN,67S,SHOPLIFTING,3/13/2022 13:30,14 67,THEFT,1.0,736502.0,,BLACK,MALE,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-14764-22,2,081XX S Claiborne Av,OPEN,67S,SHOPLIFTING,3/13/2022 13:30,,,1.0,736502.0,,BLACK,MALE,,2.0,REPORTING PERSON,BLACK,MALE,64.0,Non-fatal,,Incident Report,2022
C-14764-22,2,081XX S Claiborne Av,OPEN,67S,SHOPLIFTING,3/13/2022 13:30,14 67,THEFT,2.0,736503.0,,BLACK,FEMALE,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-14764-22,2,081XX S Claiborne Av,OPEN,67S,SHOPLIFTING,3/13/2022 13:30,,,2.0,736503.0,,BLACK,FEMALE,,2.0,REPORTING PERSON,BLACK,MALE,64.0,Non-fatal,,Incident Report,2022
C-14890-22,6,021XX Louisiana Avenue Av,OPEN,66,THREATS,3/14/2022 7:45,54 403,DISTURBING THE PEACE,1.0,736505.0,,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,27.0,Non-fatal,,Incident Report,2022
C-14822-22,4,XX Westpark Ct,OPEN,21,MISCELLANEOUS INCIDENT,3/14/2022 7:30,,,,,,,,,1.0,INTERVIEW,BLACK,MALE,30.0,Non-fatal,,Incident Report,2022
C-14788-22,5,006XX Independence St,OPEN,103,DISTURBANCE,3/14/2022 6:14,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,59.0,Non-fatal,,Incident Report,2022
B-18240-22,7,100XX S I-10 Service Rd,CLOSED,67,THEFT,2/15/2022 18:41,54 186,THEFT,1.0,736511.0,ARRESTED,WHITE,MALE,42.0,1.0,VICTIM,UNKNOWN,FEMALE,,Non-fatal,,Supplemental Report,2022
B-18240-22,7,100XX S I-10 Service Rd,CLOSED,67,THEFT,2/15/2022 18:41,54 186,THEFT,1.0,736511.0,ARRESTED,WHITE,MALE,42.0,2.0,VICTIM,UNKNOWN,FEMALE,26.0,Non-fatal,,Supplemental Report,2022
C-14693-22,5,013XX Congress St #A,OPEN,103D,DISTURBANCE (DOMESTIC),3/14/2022 3:23,,,,,,,,,1.0,REPORTING PERSON,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
C-07778-22,6,028XX S Claiborne Av,OPEN,63,TRESPASSING,3/8/2022 2:30,,,,,,,,,1.0,REPORTING PERSON,,,,Non-fatal,,Supplemental Report,2022
C-14971-22,6,021XX S Claiborne Av,CLOSED,67S,SHOPLIFTING,3/14/2022 10:00,54 186,THEFT,1.0,736516.0,ARRESTED,BLACK,FEMALE,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-14971-22,6,021XX S Claiborne Av,CLOSED,67S,SHOPLIFTING,3/14/2022 10:00,54 188,POSSESSION OF STOLEN PROPERTY,1.0,736516.0,ARRESTED,BLACK,FEMALE,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-14971-22,6,021XX S Claiborne Av,CLOSED,67S,SHOPLIFTING,3/14/2022 10:00,54 151,CRIMINAL DAMAGE TO PROPERTY,1.0,736516.0,ARRESTED,BLACK,FEMALE,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
C-14971-22,6,021XX S Claiborne Av,CLOSED,67S,SHOPLIFTING,3/14/2022 10:00,,,1.0,736516.0,ARRESTED,BLACK,FEMALE,,2.0,REPORTING PERSON,BLACK,FEMALE,,Non-fatal,,Incident Report,2022
C-14989-22,6,017XX Jackson Av,OPEN,21,MISCELLANEOUS INCIDENT,2/11/2022 8:00,,,,,,,,,1.0,VICTIM,BLACK,FEMALE,78.0,Non-fatal,,Incident Report,2022
C-14964-22,5,013XX Congress St,OPEN,21,MISCELLANEOUS INCIDENT,3/14/2022 9:59,,,,,,,,,1.0,NON-VICTIM,BLACK,MALE,6.0,Non-fatal,,Incident Report,2022
C-14964-22,5,013XX Congress St,OPEN,21,MISCELLANEOUS INCIDENT,3/14/2022 9:59,,,,,,,,,2.0,INTERVIEW,BLACK,FEMALE,29.0,Non-fatal,,Incident Report,2022
C-14964-22,5,013XX Congress St,OPEN,21,MISCELLANEOUS INCIDENT,3/14/2022 9:59,,,,,,,,,3.0,INTERVIEW,BLACK,FEMALE,17.0,Non-fatal,,Incident Report,2022
B-24542-22,6,029XX Magnolia St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2/20/2022 17:30,14 38,SIMPLE ASSAULT,1.0,736520.0,ARRESTED,BLACK,MALE,58.0,1.0,VICTIM,BLACK,FEMALE,54.0,Non-fatal,,Supplemental Report,2022
B-24542-22,6,029XX Magnolia St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2/20/2022 17:30,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,736520.0,ARRESTED,BLACK,MALE,58.0,2.0,VICTIM,BLACK,MALE,13.0,Non-fatal,,Supplemental Report,2022
C-14974-22,1,007XX Loyola Av,UNFOUNDED,283,VIDEO VOYEURISM,3/14/2022 10:00,,,,,,,,,1.0,VICTIM,BLACK,FEMALE,36.0,Non-fatal,,Incident Report,2022
C-00610-22,8,Canal St & Royal St,OPEN,21,MISCELLANEOUS INCIDENT,3/1/2022 15:21,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,,Non-fatal,,Incident Report,2022
C-00610-22,8,Canal St & Royal St,OPEN,21,MISCELLANEOUS INCIDENT,3/1/2022 15:21,,,,,,,,,2.0,INTERVIEW,WHITE,FEMALE,27.0,Non-fatal,,Incident Report,2022
C-14994-22,7,102XX Springwood St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),3/14/2022 9:30,14 34.9,BATTERY OF A DATING PARTNER (SIMPLE),1.0,736527.0,ARRESTED,BLACK,MALE,22.0,1.0,VICTIM,BLACK,FEMALE,24.0,Non-fatal,,Incident Report,2022
C-14994-22,7,102XX Springwood St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),3/14/2022 9:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736527.0,ARRESTED,BLACK,MALE,22.0,1.0,VICTIM,BLACK,FEMALE,24.0,Non-fatal,,Incident Report,2022
C-14944-22,5,023XX Pauger St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,3/14/2022 3:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,736519.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,33.0,Non-fatal,,Incident Report,2022
C-14944-22,5,023XX Pauger St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,3/14/2022 3:30,14 67,THEFT,1.0,736519.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,33.0,Non-fatal,,Incident Report,2022
C-15011-22,7,080XX Arcadia Ln,OPEN,103,DISTURBANCE,3/14/2022 10:40,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,42.0,Non-fatal,,Incident Report,2022
C-14538-22,8,X Poydras St,OPEN,21P,LOST PROPERTY,3/13/2022 22:35,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,45.0,Non-fatal,,Incident Report,2022
C-14977-22,3,017XX Abundance St,OPEN,56,SIMPLE CRIMINAL DAMAGE,3/14/2022 11:00,54 151,CRIMINAL DAMAGE TO PROPERTY,1.0,736524.0,,BLACK,FEMALE,32.0,1.0,VICTIM,BLACK,FEMALE,43.0,Non-fatal,,Incident Report,2022
A-29685-22,4,051XX Westgrove Pk,CLOSED,27-42,ATTEMPTED AGGRAVATED RAPE,1/27/2022 8:30,14 (27) 42,ATTEMPT FIRST DEGREE RAPE,1.0,738041.0,ARRESTED,BLACK,MALE,41.0,1.0,VICTIM,BLACK,FEMALE,37.0,Non-fatal,,Incident Report,2022
