latitude,longitude,set
30.00540011,-90.02923623,rtcc
29.97513142,-90.00260946,rtcc
30.00448637,-90.10680701,rtcc
29.91644873,-90.11619879,rtcc
30.01661379,-90.0652289,rtcc
29.99992877,-90.11494861,rtcc
30.01229588,-90.0383736,rtcc
29.95206279,-90.13561337,rtcc
29.92376049,-90.00754006,rtcc
30.00065864,-90.11616826,rtcc
30.01752225,-90.05143564,rtcc
30.01158595,-90.1007745,rtcc
30.02098236,-90.07547473,rtcc
30.02143827,-90.06932046,rtcc
29.90755454,-90.01822941,rtcc
29.92774837,-90.13358841,rtcc
30.01996916,-90.04366156,rtcc
30.01000817,-90.02094012,rtcc
30.00568575,-90.11852596,rtcc
30.00991615,-90.0197286,rtcc
30.02351334,-90.06100853,rtcc
30.02271333,-90.05172944,rtcc
30.01890879,-90.09680049,rtcc
30.00872449,-90.11752291,rtcc
30.01424874,-90.02143089,rtcc
30.01372058,-90.01899243,rtcc
30.02645234,-90.05205886,rtcc
30.01945117,-90.10554776,rtcc
30.00963525,-90.00884123,rtcc
30.01848472,-90.02174693,rtcc
30.01120966,-90.0097758,rtcc
30.02887248,-90.04574347,rtcc
30.01280323,-90.0099792,rtcc
30.01690297,-90.01429666,rtcc
30.02011778,-90.11358308,rtcc
30.02920429,-90.0412976,rtcc
29.90894897,-89.99668024,rtcc
29.9239016,-89.98512143,rtcc
30.02628466,-90.02448393,rtcc
29.9233104,-89.98426956,rtcc
30.01082143,-89.99842627,rtcc
29.90622961,-89.99517056,rtcc
30.01231382,-89.99862943,rtcc
29.91750016,-89.9832345,rtcc
30.03231192,-90.02664645,rtcc
29.90461642,-89.9919759,rtcc
30.03290613,-90.02609853,rtcc
29.90611457,-89.98965837,rtcc
30.02874578,-90.0163497,rtcc
29.90781584,-89.98767029,rtcc
30.01339491,-89.99291433,rtcc
29.92028234,-89.97691217,rtcc
30.02952714,-90.01265877,rtcc
29.91977247,-89.97628158,rtcc
29.92098001,-89.97470195,rtcc
30.02653282,-89.99987579,rtcc
30.03784776,-90.01129819,rtcc
30.02432043,-89.98867059,rtcc
30.02746496,-89.99206746,rtcc
30.02847684,-89.99312076,rtcc
30.03223224,-89.99498845,rtcc
30.02929534,-89.98567562,rtcc
30.03097162,-89.98548425,rtcc
30.03341003,-89.98761213,rtcc
30.03557869,-89.98869052,rtcc
30.04045692,-89.99474448,rtcc
30.03894661,-89.98826374,rtcc
30.03551642,-89.97504658,rtcc
30.03848376,-89.97693048,rtcc
30.04611518,-89.98211626,rtcc
30.04853134,-89.98548892,rtcc
30.04755568,-89.97916565,rtcc
30.02596874,-89.95578167,rtcc
30.05197936,-89.97872948,rtcc
30.04306628,-89.96709905,rtcc
30.0325001,-89.95424464,rtcc
30.03896944,-89.95515358,rtcc
30.04471741,-89.95965159,rtcc
30.04737744,-89.96239757,rtcc
30.05686618,-89.9701829,rtcc
30.05635843,-89.95581359,rtcc
30.03114755,-89.92782725,rtcc
30.05591584,-89.94735349,rtcc
30.06924451,-89.94589234,rtcc
30.05836461,-89.93101523,rtcc
30.03641196,-89.91162009,rtcc
30.03847745,-89.91255628,rtcc
30.06192975,-89.92827306,rtcc
30.03763347,-89.90715118,rtcc
30.04281243,-89.90993448,rtcc
