,occurred_date_time,latitude,longitude,hour,item_number,occurred_date,occurred_time
70693,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70721,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70749,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70777,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70805,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70833,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70861,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70889,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70917,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70945,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70973,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71001,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71029,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71057,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71085,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71113,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71141,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71169,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71197,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
71225,2020-08-20 18:20:00,29.9600742,-90.02124169999999,18,h2401220,2020-08-20,18:20:00
71228,2020-08-20 18:20:00,29.9600742,-90.02124169999999,18,h2401220,2020-08-20,18:20:00
71231,2020-08-20 18:28:00,29.9600742,-90.02124169999999,18,h2401220,2020-08-20,18:28:00
71234,2020-08-20 18:28:00,29.9486669,-90.0695769,18,h2445720,2020-08-20,18:28:00
